date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:19:16	59090/59090	---MCZ	200	added ('OK')	text/html	etag:W/%22c566d40834ae05b37cff1771e39333e5%22	https://davis-html.vercel.app/index3.html	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/index3.html	(from )
17:19:16	1486/1486	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202024%2011:49:19%20GMT	https://davis-html.vercel.app/robots.txt		(from )
17:19:16	3092/3092	---M--	200	added ('OK')	image/png	etag:%225d682aa3613e37d491d685941721e91b%22	https://davis-html.vercel.app/assets/img/favicon.png	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/assets/img/favicon.png	(from https://davis-html.vercel.app/index3.html)
17:19:17	155758/155758	---MCZ	200	added ('OK')	text/css	etag:W/%229279733b781ce0cd32dcc94475f6fd56%22	https://davis-html.vercel.app/assets/css/bootstrap.min.css	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/assets/css/bootstrap.min.css	(from https://davis-html.vercel.app/index3.html)
17:19:17	73063/73063	---MCZ	200	added ('OK')	text/css	etag:W/%2272f2bbaf6d6aed8bb41af664c4057ed5%22	https://davis-html.vercel.app/assets/css/fontawesome.css	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/assets/css/fontawesome.css	(from https://davis-html.vercel.app/index3.html)
17:19:17	1652/1652	---MCZ	200	added ('OK')	text/css	etag:W/%222b276e92d24ab33052c8a9006231f6db%22	https://davis-html.vercel.app/assets/css/slick.css	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/assets/css/slick.css	(from https://davis-html.vercel.app/index3.html)
17:19:17	24231/24231	---MCZ	200	added ('OK')	text/css	etag:W/%229e4c651b9c6e994a2c39b6c596a286af%22	https://davis-html.vercel.app/assets/css/lightgallery.min.css	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/assets/css/lightgallery.min.css	(from https://davis-html.vercel.app/index3.html)
17:19:18	77749/77749	---MCZ	200	added ('OK')	text/css	etag:W/%2209193328ac6ca6b44298fed0251cb60d%22	https://davis-html.vercel.app/assets/css/animate.css	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/assets/css/animate.css	(from https://davis-html.vercel.app/index3.html)
17:19:18	59754/59754	---MCZ	200	added ('OK')	text/css	etag:W/%22eb566271de30b2fdaa74f4836079a371%22	https://davis-html.vercel.app/assets/css/style.css	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/assets/css/style.css	(from https://davis-html.vercel.app/index3.html)
17:19:18	3841/3841	---MCZ	200	added ('OK')	text/html	etag:W/%226bd8f9a9fc11a25e12692801f1a03e40%22	https://davis-html.vercel.app/index.html	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/index.html	(from https://davis-html.vercel.app/index3.html)
17:19:18	2532/2532	---M--	200	added ('OK')	image/png	etag:%22539ed7dac56c7843777c5f071044c769%22	https://davis-html.vercel.app/assets/img/logo.png	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/assets/img/logo.png	(from https://davis-html.vercel.app/index3.html)
17:19:18	71970/71970	---M--	200	added ('OK')	image/jpeg	etag:%227cbb63a40fe3e268c3f9b9595d64a3c1%22	https://davis-html.vercel.app/assets/img/hero-bg-1.jpg	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/assets/img/hero-bg-1.jpg	(from https://davis-html.vercel.app/index3.html)
17:19:19	114816/114816	---M--	200	added ('OK')	image/jpeg	etag:%22fa4ba61930f629dc1a968d44e2fbe127%22	https://davis-html.vercel.app/assets/img/section/hero-img.jpg	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/assets/img/section/hero-img.jpg	(from https://davis-html.vercel.app/index3.html)
17:19:19	69470/69470	---M--	200	added ('OK')	image/jpeg	etag:%222982aa58712a6e245612ab7368af3a6e%22	https://davis-html.vercel.app/assets/img/section/about.jpg	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/assets/img/section/about.jpg	(from https://davis-html.vercel.app/index3.html)
17:19:19	855/855	---M--	200	added ('OK')	image/png	etag:%22da811362ef4c7a2a9f8d13e0d2d58690%22	https://davis-html.vercel.app/assets/img/icon/resume-icon1.png	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/assets/img/icon/resume-icon1.png	(from https://davis-html.vercel.app/index3.html)
17:19:19	1190/1190	---M--	200	added ('OK')	image/png	etag:%222a1c1b9184b965b74e4d49745335417e%22	https://davis-html.vercel.app/assets/img/icon/resume-icon2.png	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/assets/img/icon/resume-icon2.png	(from https://davis-html.vercel.app/index3.html)
17:19:20	58597/58597	---M--	200	added ('OK')	image/jpeg	etag:%220931e153df2ac236ed41a76cd91b27c7%22	https://davis-html.vercel.app/assets/img/portfolio/portfolio1_lg.jpg	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/assets/img/portfolio/portfolio1_lg.jpg	(from https://davis-html.vercel.app/index3.html)
17:19:20	20216/20216	---M--	200	added ('OK')	image/jpeg	etag:%227b0513dca0e1b4011e61512b2d0d6235%22	https://davis-html.vercel.app/assets/img/portfolio/portfolio1.jpg	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/assets/img/portfolio/portfolio1.jpg	(from https://davis-html.vercel.app/index3.html)
17:19:20	88925/88925	---M--	200	added ('OK')	image/jpeg	etag:%2271bb558342d1b340046090ec7a0bf7d4%22	https://davis-html.vercel.app/assets/img/portfolio/portfolio2_lg.jpg	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/assets/img/portfolio/portfolio2_lg.jpg	(from https://davis-html.vercel.app/index3.html)
17:19:20	25559/25559	---M--	200	added ('OK')	image/jpeg	etag:%221721120f34396e22652248ad4b44291e%22	https://davis-html.vercel.app/assets/img/portfolio/portfolio2.jpg	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/assets/img/portfolio/portfolio2.jpg	(from https://davis-html.vercel.app/index3.html)
17:19:20	65975/65975	---M--	200	added ('OK')	image/jpeg	etag:%22109d941ff1d4ee3a12c0f5b5031c9f04%22	https://davis-html.vercel.app/assets/img/portfolio/portfolio3_lg.jpg	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/assets/img/portfolio/portfolio3_lg.jpg	(from https://davis-html.vercel.app/index3.html)
17:19:21	28580/28580	---M--	200	added ('OK')	image/jpeg	etag:%220db9fac25cac7a1a75f4998d5e7716d9%22	https://davis-html.vercel.app/assets/img/portfolio/portfolio3.jpg	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/assets/img/portfolio/portfolio3.jpg	(from https://davis-html.vercel.app/index3.html)
17:19:21	78282/78282	---M--	200	added ('OK')	image/jpeg	etag:%22698cde427d49fde021f9885f04556811%22	https://davis-html.vercel.app/assets/img/portfolio/portfolio4_lg.jpg	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/assets/img/portfolio/portfolio4_lg.jpg	(from https://davis-html.vercel.app/index3.html)
17:19:21	16940/16940	---M--	200	added ('OK')	image/jpeg	etag:%22f044a204e6ef6af83e84b9bc487397f4%22	https://davis-html.vercel.app/assets/img/portfolio/portfolio4.jpg	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/assets/img/portfolio/portfolio4.jpg	(from https://davis-html.vercel.app/index3.html)
17:19:21	72436/72436	---M--	200	added ('OK')	image/jpeg	etag:%2214335b1ecc8dcdd9db7e060cc041332f%22	https://davis-html.vercel.app/assets/img/portfolio/portfolio5_lg.jpg	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/assets/img/portfolio/portfolio5_lg.jpg	(from https://davis-html.vercel.app/index3.html)
17:19:22	18582/18582	---M--	200	added ('OK')	image/jpeg	etag:%22a11daca8a051bf9cde70845a39fddbc5%22	https://davis-html.vercel.app/assets/img/portfolio/portfolio5.jpg	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/assets/img/portfolio/portfolio5.jpg	(from https://davis-html.vercel.app/index3.html)
17:19:22	129136/129136	---M--	200	added ('OK')	image/jpeg	etag:%223dcd0cd33904fd4c67e9918015271f6e%22	https://davis-html.vercel.app/assets/img/portfolio/portfolio6_lg.jpg	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/assets/img/portfolio/portfolio6_lg.jpg	(from https://davis-html.vercel.app/index3.html)
17:19:22	26179/26179	---M--	200	added ('OK')	image/jpeg	etag:%22ad50fdc51180f2df8c663a5c920f6ed8%22	https://davis-html.vercel.app/assets/img/portfolio/portfolio6.jpg	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/assets/img/portfolio/portfolio6.jpg	(from https://davis-html.vercel.app/index3.html)
17:19:22	1273/1273	---M--	200	added ('OK')	image/png	etag:%224c1e478a10b8b0710a33dcb1994e8410%22	https://davis-html.vercel.app/assets/img/icon/quote.png	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/assets/img/icon/quote.png	(from https://davis-html.vercel.app/index3.html)
17:19:23	12835/12835	---M--	200	added ('OK')	image/png	etag:%2245fc83e9b7134107b3c03aa7b10b6be8%22	https://davis-html.vercel.app/assets/img/client/client1.png	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/assets/img/client/client1.png	(from https://davis-html.vercel.app/index3.html)
17:19:23	11231/11231	---M--	200	added ('OK')	image/png	etag:%22654da975f7247d63efa776748c97ce97%22	https://davis-html.vercel.app/assets/img/client/client2.png	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/assets/img/client/client2.png	(from https://davis-html.vercel.app/index3.html)
17:19:23	10504/10504	---M--	200	added ('OK')	image/png	etag:%224049e6797fc1f91ecd4396274caed7f5%22	https://davis-html.vercel.app/assets/img/client/client3.png	C:/websiteportfolio/www,websiteportfolio.com/davis-html.vercel.app/assets/img/client/client3.png	(from https://davis-html.vercel.app/index3.html)
